"","Platform","Year_of_Release","Genre","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count"
"10324","PS",1996,"Sports",0.01,0,0.09,0.01,0.11,NA,NA,NA,NA
"10325","Wii",2009,"Simulation",0.1,0,0,0.01,0.11,NA,NA,NA,NA
"10326","DS",2005,"Puzzle",0.08,0.02,0,0.01,0.11,75,14,7,6
"10327","GBA",2005,"Action",0.08,0.03,0,0,0.11,56,22,NA,NA
"10328","PS4",2015,"Role-Playing",0,0.01,0.09,0,0.11,69,35,8,79
"10329","PS",2000,"Misc",0,0,0.1,0.01,0.11,NA,NA,NA,NA
"10330","Wii",2009,"Sports",0.1,0,0,0.01,0.11,NA,NA,NA,NA
"10331","PS3",2009,"Misc",0.1,0,0,0.01,0.11,NA,NA,NA,NA
"10332","PS2",2000,"Puzzle",0.05,0.04,0,0.01,0.11,79,14,NA,NA
"10333","3DS",2011,"Fighting",0.05,0.01,0.04,0.01,0.11,64,14,6,19
"10334","DS",2010,"Action",0.1,0,0,0.01,0.11,NA,NA,NA,NA
"10335","GBA",2005,"Platform",0.08,0.03,0,0,0.11,77,17,9,21
"10336","PS3",2014,"Racing",0.09,0,0,0.02,0.11,67,7,4,20
"10337","PS3",2009,"Platform",0.09,0.01,0,0.01,0.11,53,8,4,4
"10338","PS",1999,"Sports",0.06,0.04,0,0.01,0.11,NA,NA,NA,NA
"10339","PSP",2009,"Misc",0.09,0,0,0.01,0.11,77,5,6,13
"10340","DS",2005,"Role-Playing",0,0,0.11,0,0.11,NA,NA,NA,NA
"10341","X360",2010,"Platform",0.1,0,0,0.01,0.11,62,22,6,9
"10342","DS",2008,"Simulation",0.1,0,0,0.01,0.11,NA,NA,NA,NA
"10343","PS2",2006,"Adventure",0,0,0.11,0,0.11,NA,NA,NA,NA
"10344","DS",2009,"Simulation",0.07,0.03,0,0.01,0.11,82,11,7,7
"10345","XOne",2015,"Sports",0.04,0.06,0,0.01,0.11,85,14,6,144
"10346","PS",1995,"Sports",0,0,0.1,0.01,0.11,NA,NA,NA,NA
"10347","GC",2005,"Sports",0.08,0.02,0,0,0.11,82,19,4,4
"10348","PS",1994,"Shooter",0.06,0.04,0,0.01,0.11,NA,NA,NA,NA
"10349","Wii",2008,"Misc",0.09,0.01,0,0.01,0.11,NA,NA,NA,NA
"10350","DS",2007,"Puzzle",0.1,0,0,0.01,0.11,NA,NA,NA,NA
"10351","PC",2013,"Shooter",0,0.1,0,0.01,0.11,74,38,7,866
"10352","PSP",2011,"Role-Playing",0,0,0.11,0,0.11,NA,NA,NA,NA
"10353","PS",1999,"Adventure",0,0,0.1,0.01,0.11,NA,NA,NA,NA
"10354","X360",2007,"Puzzle",0.08,0.02,0,0.01,0.11,52,21,NA,NA
"10355","DS",2011,"Action",0.07,0.02,0,0.01,0.11,NA,NA,NA,NA
"10356","PSP",2006,"Sports",0.1,0,0,0.01,0.11,72,15,7,8
"10357","Wii",2011,"Sports",0.1,0,0,0.01,0.11,NA,NA,NA,NA
"10358","GC",2002,"Shooter",0.08,0.02,0,0,0.11,54,9,5,7
"10359","DS",2008,"Action",0.07,0,0.03,0,0.11,64,7,NA,NA
"10360","PSV",2014,"Sports",0.08,0,0,0.03,0.11,68,6,7,25
"10361","X360",2009,"Shooter",0.09,0.01,0,0.01,0.11,28,33,2,64
"10362","Wii",2010,"Shooter",0.07,0.02,0,0.01,0.11,71,4,NA,NA
"10363","3DS",2014,"Role-Playing",0,0,0.11,0,0.11,NA,NA,NA,NA
"10364","DC",2000,"Adventure",0,0,0.11,0,0.11,NA,NA,NA,NA
"10365","PS2",2006,"Misc",0.05,0.04,0,0.01,0.11,NA,NA,NA,NA
"10366","DS",2009,"Sports",0,0,0.11,0,0.11,NA,NA,NA,NA
"10367","XB",2003,"Shooter",0.08,0.02,0,0,0.11,64,27,8,11
"10368","3DS",2011,"Action",0,0.04,0.06,0.01,0.11,NA,NA,NA,NA
"10369","PS",1999,"Racing",0.06,0.04,0,0.01,0.11,46,4,NA,NA
"10370","PS",2001,"Adventure",0.06,0.04,0,0.01,0.11,64,4,6,16
"10371","PS2",2007,"Role-Playing",0,0,0.11,0,0.11,NA,NA,NA,NA
"10372","XB",2004,"Fighting",0.08,0.02,0,0,0.11,37,29,4,13
"10373","X360",2016,"Sports",0.05,0.04,0,0.01,0.11,NA,NA,NA,NA
"10374","PS",1995,"Strategy",0.01,0.01,0.09,0.01,0.11,NA,NA,NA,NA
"10375","PC",2010,"Action",0,0.08,0,0.02,0.11,83,20,5,672
"10376","PS",1998,"Adventure",0.06,0.04,0,0.01,0.11,NA,NA,NA,NA
"10377","PS2",2009,"Fighting",0,0,0.11,0,0.11,NA,NA,NA,NA
"10378","PS3",2012,"Adventure",0,0,0.11,0,0.11,NA,NA,NA,NA
"10379","GBA",2004,"Misc",0.08,0.03,0,0,0.11,NA,NA,NA,NA
"10380","PS2",2002,"Racing",0.05,0.04,0,0.01,0.11,59,7,NA,NA
"10381","Wii",2009,"Adventure",0.07,0.03,0,0.01,0.11,50,5,NA,NA
"10382","SAT",1995,"Role-Playing",0,0,0.11,0,0.11,NA,NA,NA,NA
"10383","DS",2011,"Action",0.07,0.03,0,0.01,0.11,55,4,NA,NA
"10384","PSP",2012,"Action",0,0,0.11,0,0.11,NA,NA,NA,NA
"10385","GBA",2002,"Shooter",0.08,0.03,0,0,0.11,NA,NA,NA,NA
"10386","X360",2007,"Racing",0.07,0.02,0,0.01,0.11,80,44,8,66
"10387","DS",2005,"Action",0.08,0,0.01,0.01,0.11,NA,NA,NA,NA
"10388","PS",1999,"Strategy",0.06,0.04,0,0.01,0.11,51,5,9,44
"10389","DS",2009,"Simulation",0.1,0,0,0.01,0.11,NA,NA,NA,NA
"10390","PSV",2014,"Fighting",0,0.04,0.06,0.01,0.11,66,7,7,54
"10391","PSP",2012,"Sports",0,0,0.11,0,0.11,NA,NA,NA,NA
"10392","PS3",2012,"Fighting",0.05,0,0.05,0.01,0.11,75,13,7,20
"10393","PS2",2006,"Sports",0,0,0.11,0,0.11,NA,NA,NA,NA
"10394","PC",2011,"Strategy",0,0.1,0,0.01,0.11,75,4,4,89
"10395","PSP",2010,"Strategy",0,0,0.11,0,0.11,NA,NA,NA,NA
"10396","PS3",2010,"Fighting",0.1,0,0,0.01,0.11,54,6,7,10
"10397","XB",2005,"Shooter",0.08,0.02,0,0,0.11,54,35,7,5
"10398","DS",2009,"Action",0.1,0,0,0.01,0.11,45,12,NA,NA
"10399","PS",1995,"Shooter",0.03,0.02,0.05,0.01,0.11,NA,NA,NA,NA
"10400","PSP",2012,"Action",0,0,0.11,0,0.11,NA,NA,NA,NA
"10401","X360",2014,"Adventure",0.05,0.04,0,0.01,0.11,60,7,6,10
"10402","DS",2008,"Simulation",0.1,0,0,0.01,0.11,79,29,8,11
"10403","SNES",1995,"Role-Playing",0,0,0.11,0,0.11,NA,NA,NA,NA
"10404","PSP",2011,"Action",0,0,0.11,0,0.11,NA,NA,NA,NA
"10405","PS3",2016,"Platform",0.02,0.07,0,0.02,0.11,NA,NA,NA,NA
"10406","XB",2005,"Sports",0.08,0.02,0,0,0.11,63,4,NA,NA
"10407","PS4",2016,"Action",0,0,0.11,0,0.11,NA,NA,NA,NA
"10408","PSP",2010,"Fighting",0,0,0.11,0,0.11,NA,NA,NA,NA
"10409","DS",2009,"Sports",0.09,0,0,0.01,0.11,NA,NA,NA,NA
"10410","GBA",2003,"Simulation",0.08,0.03,0,0,0.11,62,9,7,11
"10411","PS",2000,"Sports",0.06,0.04,0,0.01,0.11,NA,NA,NA,NA
"10412","PS",1995,"Adventure",0,0,0.1,0.01,0.11,NA,NA,NA,NA
"10413","DS",2008,"Misc",0.1,0,0,0.01,0.1,NA,NA,6,8
"10414","DS",2006,"Action",0.1,0,0,0.01,0.1,50,17,7,6
"10415","Wii",2010,"Role-Playing",0.05,0.04,0,0.01,0.1,75,30,7,31
"10416","Wii",2006,"Misc",0,0,0.1,0,0.1,NA,NA,NA,NA
"10417","PSV",2013,"Role-Playing",0.05,0,0.04,0.02,0.1,59,13,6,72
"10418","PSP",2007,"Sports",0.01,0.09,0,0.01,0.1,58,17,6,11
"10419","SNES",1995,"Role-Playing",0,0,0.1,0,0.1,NA,NA,NA,NA
"10420","DS",2005,"Sports",0,0,0.1,0,0.1,NA,NA,NA,NA
"10421","PS2",2010,"Sports",0,0,0.1,0,0.1,NA,NA,NA,NA
"10422","PSV",2015,"Action",0,0,0.1,0,0.1,NA,NA,NA,NA
"10423","PS2",2002,"Sports",0.05,0.04,0,0.01,0.1,24,12,4,27
"10424","PS2",2005,"Sports",0.05,0.04,0,0.01,0.1,67,28,7,12
"10425","PSP",2006,"Sports",0,0,0.1,0,0.1,NA,NA,NA,NA
"10426","X360",2011,"Misc",0.1,0,0,0.01,0.1,47,4,5,6
"10427","PS3",2014,"Action",0,0,0.1,0,0.1,NA,NA,NA,NA
"10428","PSP",2012,"Action",0,0,0.1,0,0.1,NA,NA,NA,NA
"10429","XB",2003,"Fighting",0.08,0.02,0,0,0.1,66,14,7,4
"10430","DS",2007,"Simulation",0,0,0.1,0,0.1,NA,NA,NA,NA
"10431","PC",2009,"Adventure",0,0.08,0,0.02,0.1,82,32,8,144
"10432","DS",2010,"Misc",0.1,0,0,0.01,0.1,NA,NA,NA,NA
"10433","DS",2009,"Simulation",0.1,0,0,0.01,0.1,NA,NA,NA,NA
"10434","DS",2009,"Misc",0.09,0.01,0,0.01,0.1,NA,NA,NA,NA
"10435","PSP",2006,"Action",0.09,0,0,0.01,0.1,59,34,7,16
"10436","DS",2007,"Adventure",0.1,0,0,0.01,0.1,NA,NA,NA,NA
"10437","3DS",2016,"Action",0,0,0.1,0,0.1,NA,NA,NA,NA
"10438","GC",2003,"Sports",0,0,0.1,0,0.1,NA,NA,NA,NA
"10439","PS3",2009,"Racing",0.1,0,0,0.01,0.1,NA,NA,NA,NA
"10440","XB",2003,"Platform",0.08,0.02,0,0,0.1,70,21,8,10
"10441","PS2",2003,"Racing",0.05,0.04,0,0.01,0.1,70,15,7,15
"10442","XB",2005,"Action",0.08,0.02,0,0,0.1,70,52,7,19
"10443","XB",2005,"Sports",0.08,0.02,0,0,0.1,NA,NA,NA,NA
"10444","Wii",2012,"Action",0,0,0.1,0,0.1,NA,NA,NA,NA
"10445","XB",2004,"Shooter",0.08,0.02,0,0,0.1,76,56,5,15
"10446","PSP",2006,"Misc",0.1,0,0,0.01,0.1,NA,NA,NA,NA
"10447","PS2",2004,"Racing",0.05,0.04,0,0.01,0.1,NA,NA,NA,NA
"10448","PS3",2014,"Role-Playing",0.03,0.04,0.03,0.01,0.1,56,13,3,46
"10449","PS3",2011,"Misc",0.04,0.04,0,0.02,0.1,54,15,NA,NA
"10450","DS",2009,"Sports",0,0,0.1,0,0.1,NA,NA,NA,NA
"10451","X360",2006,"Sports",0.09,0,0,0.01,0.1,79,22,6,33
"10452","GBA",2005,"Racing",0.07,0.03,0,0,0.1,68,22,5,9
"10453","PS2",2005,"Sports",0.02,0.02,0.06,0.01,0.1,69,15,8,8
"10454","PC",2015,"Role-Playing",0.03,0.06,0,0.01,0.1,81,65,7,1170
"10455","X360",2011,"Action",0.06,0.04,0,0.01,0.1,52,21,6,26
"10456","PSP",2008,"Misc",0,0.03,0.06,0.01,0.1,81,49,8,62
"10457","DS",2010,"Role-Playing",0,0,0.1,0,0.1,NA,NA,NA,NA
"10458","PS2",2005,"Platform",0.05,0.04,0,0.01,0.1,54,17,4,5
"10459","DS",2008,"Misc",0.1,0,0,0.01,0.1,71,6,7,7
"10460","PC",2013,"Action",0,0.1,0,0.01,0.1,74,9,4,239
"10461","PS2",2010,"Platform",0.05,0.04,0,0.01,0.1,NA,NA,NA,NA
"10462","GC",2003,"Shooter",0.08,0.02,0,0,0.1,83,30,9,19
"10463","3DS",2014,"Role-Playing",0,0,0.1,0,0.1,NA,NA,NA,NA
"10464","Wii",2010,"Misc",0.1,0,0,0.01,0.1,NA,NA,NA,NA
"10465","GC",2005,"Action",0.08,0.02,0,0,0.1,81,28,8,15
"10466","PS2",2001,"Adventure",0.05,0.04,0,0.01,0.1,84,21,8,11
"10468","DS",2009,"Action",0.09,0.01,0,0.01,0.1,61,9,7,6
"10469","DS",2009,"Sports",0.1,0,0,0.01,0.1,NA,NA,NA,NA
"10470","N64",2000,"Racing",0,0,0.1,0,0.1,NA,NA,NA,NA
"10471","DS",2008,"Misc",0.1,0,0,0.01,0.1,NA,NA,NA,NA
"10472","Wii",2010,"Misc",0.1,0,0,0.01,0.1,NA,NA,NA,NA
"10473","PSP",2006,"Adventure",0,0,0.1,0,0.1,NA,NA,NA,NA
"10474","DS",2011,"Action",0.06,0.03,0,0.01,0.1,NA,NA,NA,NA
"10475","DS",2007,"Action",0.08,0.02,0,0.01,0.1,NA,NA,NA,NA
"10476","PS3",2013,"Shooter",0,0,0.1,0,0.1,NA,NA,NA,NA
"10477","PS3",2012,"Action",0,0,0.1,0,0.1,NA,NA,NA,NA
"10478","PSP",2005,"Sports",0.1,0,0,0.01,0.1,61,23,7,10
"10479","DS",2008,"Racing",0.1,0,0,0.01,0.1,NA,NA,NA,NA
"10480","Wii",2007,"Misc",0,0,0.1,0,0.1,NA,NA,NA,NA
"10481","PS2",2002,"Simulation",0.05,0.04,0,0.01,0.1,78,17,8,10
"10482","GBA",2003,"Racing",0.07,0.03,0,0,0.1,78,15,9,23
"10483","XB",2003,"Action",0.08,0.02,0,0,0.1,72,17,7,5
"10484","PSP",2007,"Strategy",0.09,0,0,0.01,0.1,72,7,0,24
"10485","PS3",2009,"Platform",0.09,0.01,0,0.01,0.1,66,9,6,5
"10486","PS2",2002,"Sports",0.02,0.01,0.07,0,0.1,71,12,9,10
"10487","Wii",2009,"Sports",0.1,0,0,0.01,0.1,NA,NA,NA,NA
"10489","DS",2008,"Puzzle",0.09,0,0.01,0.01,0.1,64,25,6,6
"10490","PS",1995,"Shooter",0.06,0.04,0,0.01,0.1,NA,NA,NA,NA
"10491","3DS",2013,"Role-Playing",0,0,0.1,0,0.1,NA,NA,NA,NA
"10492","GBA",2004,"Role-Playing",0.07,0.03,0,0,0.1,76,26,9,21
"10493","X360",2012,"Action",0.07,0.02,0,0.01,0.1,52,23,6,30
"10494","PSP",2008,"Role-Playing",0.05,0,0.04,0.01,0.1,73,17,7,18
"10495","GBA",2004,"Simulation",0.07,0.03,0,0,0.1,NA,NA,NA,NA
"10496","PSV",2014,"Role-Playing",0.03,0.02,0.05,0.01,0.1,NA,NA,NA,NA
"10497","Wii",2011,"Misc",0.1,0,0,0.01,0.1,NA,NA,NA,NA
"10498","PSP",2007,"Simulation",0.09,0,0,0.01,0.1,51,25,NA,NA
"10499","PS2",2003,"Fighting",0.05,0.04,0,0.01,0.1,72,28,7,14
"10500","PSP",2004,"Misc",0,0,0.1,0,0.1,NA,NA,NA,NA
"10501","X360",2008,"Action",0.09,0.01,0,0.01,0.1,66,44,8,57
"10502","DS",2007,"Adventure",0.09,0.01,0,0.01,0.1,NA,NA,NA,NA
"10503","DS",2011,"Puzzle",0.05,0.05,0,0.01,0.1,NA,NA,NA,NA
"10504","XB",2003,"Adventure",0.08,0.02,0,0,0.1,NA,NA,NA,NA
"10505","PS2",2005,"Action",0.05,0.04,0,0.01,0.1,51,45,6,24
"10506","DS",2009,"Misc",0.1,0,0,0.01,0.1,NA,NA,NA,NA
"10507","PS",1995,"Fighting",0,0,0.1,0.01,0.1,NA,NA,NA,NA
"10508","PS",1999,"Strategy",0.06,0.04,0,0.01,0.1,NA,NA,NA,NA
"10509","3DS",2012,"Action",0,0,0.1,0,0.1,NA,NA,NA,NA
"10510","PC",2004,"Strategy",0,0.09,0,0.02,0.1,92,58,9,1050
"10511","PSP",2011,"Adventure",0,0,0.1,0,0.1,NA,NA,NA,NA
"10512","PC",2004,"Shooter",0.05,0.04,0,0.01,0.1,87,83,7,896
"10513","DS",2009,"Adventure",0.1,0,0,0.01,0.1,62,9,NA,NA
"10514","DS",2009,"Action",0.09,0,0,0.01,0.1,34,9,NA,NA
"10515","PSP",2011,"Misc",0,0,0.1,0,0.1,NA,NA,NA,NA
"10516","DS",2006,"Misc",0.1,0,0,0.01,0.1,59,5,NA,NA
"10517","XOne",2015,"Racing",0.04,0.05,0,0.01,0.1,54,9,5,17
"10518","DS",2008,"Strategy",0,0,0.1,0,0.1,NA,NA,NA,NA
"10519","X360",2012,"Racing",0.09,0,0,0.01,0.1,72,7,3,27
"10520","PS3",2014,"Adventure",0.03,0.06,0,0.02,0.1,NA,NA,NA,NA
"10521","Wii",2009,"Action",0.07,0.01,0.01,0.01,0.1,39,32,5,34
"10522","Wii",2009,"Racing",0.09,0.01,0,0.01,0.1,NA,NA,NA,NA
"10523","XB",2004,"Racing",0.08,0.02,0,0,0.1,84,33,8,19
"10524","DC",1999,"Fighting",0,0,0.1,0,0.1,NA,NA,NA,NA
"10525","GBA",2002,"Racing",0.07,0.03,0,0,0.1,58,8,NA,NA
"10526","XB",2005,"Sports",0.08,0.02,0,0,0.1,60,21,8,9
"10527","PSP",2011,"Strategy",0,0,0.1,0,0.1,NA,NA,NA,NA
"10528","Wii",2010,"Misc",0.09,0.01,0,0.01,0.1,NA,NA,NA,NA
"10529","PC",2016,"Simulation",0.02,0.08,0,0.01,0.1,77,10,5,30
"10530","DS",2007,"Simulation",0,0,0.1,0,0.1,NA,NA,NA,NA
"10531","PSP",2007,"Strategy",0.09,0,0,0.01,0.1,NA,NA,NA,NA
"10532","PS",1998,"Fighting",0.06,0.04,0,0.01,0.1,NA,NA,NA,NA
"10533","XB",2004,"Racing",0.08,0.02,0,0,0.1,63,11,6,5
"10534","DS",2008,"Action",0.1,0,0,0.01,0.1,NA,NA,NA,NA
"10535","X360",2008,"Sports",0.08,0.01,0,0.01,0.1,68,34,7,13
"10536","DS",2009,"Misc",0.09,0,0,0.01,0.1,NA,NA,NA,NA
"10537","DC",1999,"Adventure",0,0,0.1,0,0.1,NA,NA,NA,NA
"10538","PS",1995,"Action",0.06,0.04,0,0.01,0.1,NA,NA,NA,NA
"10539","DS",2009,"Adventure",0.09,0,0,0.01,0.1,56,14,8,4
"10540","PSP",2007,"Action",0.09,0,0,0.01,0.1,60,6,NA,NA
"10541","XB",2003,"Fighting",0.08,0.02,0,0,0.1,80,26,8,13
"10542","Wii",2012,"Role-Playing",0,0,0.1,0,0.1,NA,NA,NA,NA
"10543","PS3",2011,"Action",0,0,0.1,0,0.1,NA,NA,NA,NA
"10544","GC",2002,"Action",0.08,0.02,0,0,0.1,70,13,7,7
"10545","DS",2007,"Misc",0,0,0.1,0,0.1,NA,NA,NA,NA
"10546","DS",2007,"Puzzle",0.09,0,0,0.01,0.1,61,11,NA,NA
"10547","PS",1999,"Action",0.06,0.04,0,0.01,0.1,NA,NA,NA,NA
"10548","DS",2011,"Misc",0.06,0.03,0,0.01,0.1,NA,NA,NA,NA
"10549","Wii",2009,"Strategy",0,0,0.1,0,0.1,NA,NA,NA,NA
"10550","DS",2007,"Misc",0,0,0.1,0,0.1,NA,NA,NA,NA
"10551","PS3",2010,"Sports",0,0.08,0,0.02,0.1,NA,NA,NA,NA
"10552","Wii",2011,"Shooter",0.09,0,0,0.01,0.1,NA,NA,NA,NA
"10553","PS2",2003,"Racing",0.05,0.04,0,0.01,0.1,66,20,NA,NA
"10554","GC",2006,"Role-Playing",0.06,0.02,0.02,0,0.1,75,21,8,23
"10555","PS2",2002,"Fighting",0.04,0.03,0.02,0.01,0.1,57,28,7,6
"10556","PSV",2013,"Sports",0,0.08,0,0.02,0.1,NA,NA,NA,NA
"10557","XB",2001,"Sports",0.08,0.02,0,0,0.1,71,26,NA,NA
"10558","DS",2010,"Adventure",0,0,0.1,0,0.1,NA,NA,NA,NA
"10559","DS",2006,"Platform",0.09,0,0,0.01,0.1,NA,NA,NA,NA
"10560","GC",2003,"Sports",0.08,0.02,0,0,0.1,85,18,8,7
"10561","PSP",2009,"Adventure",0,0,0.1,0,0.1,NA,NA,NA,NA
"10562","X360",2007,"Sports",0.09,0,0,0.01,0.1,61,15,6,9
"10563","PS3",2011,"Adventure",0,0.08,0,0.02,0.1,NA,NA,NA,NA
"10564","X360",2011,"Misc",0.07,0.02,0,0.01,0.1,NA,NA,NA,NA
"10565","XB",2006,"Action",0.08,0.02,0,0,0.1,53,38,8,7
"10566","PS2",2002,"Shooter",0.05,0.04,0,0.01,0.1,58,27,8,9
"10567","PSP",2013,"Role-Playing",0,0,0.1,0,0.1,NA,NA,NA,NA
"10568","Wii",2009,"Sports",0.09,0,0,0.01,0.1,NA,NA,NA,NA
"10569","WiiU",2013,"Puzzle",0.09,0,0,0.01,0.1,71,17,6,39
"10570","PS2",2006,"Platform",0.05,0.04,0,0.01,0.1,52,19,4,6
"10571","XB",2005,"Shooter",0.08,0.02,0,0,0.1,62,24,7,8
"10572","GC",2002,"Action",0.08,0.02,0,0,0.1,53,19,NA,NA
"10573","PS2",2005,"Role-Playing",0.02,0.02,0.05,0.01,0.1,58,16,6,8
"10574","DS",2008,"Sports",0,0.1,0,0,0.1,NA,NA,NA,NA
"10575","DS",2006,"Action",0,0,0.1,0,0.1,NA,NA,NA,NA
"10576","DS",2009,"Simulation",0.08,0.02,0,0.01,0.1,NA,NA,NA,NA
"10577","PS3",2009,"Misc",0.07,0.02,0,0.01,0.1,66,8,NA,NA
"10578","PSV",2013,"Action",0,0.01,0.09,0,0.1,85,17,7,112
"10579","PS2",2009,"Misc",0.05,0.04,0,0.01,0.1,NA,NA,NA,NA
"10580","PC",2009,"Adventure",0,0.08,0,0.02,0.1,70,41,7,77
"10581","PS",1996,"Sports",0.06,0.04,0,0.01,0.1,NA,NA,NA,NA
"10582","GC",2003,"Platform",0.08,0.02,0,0,0.1,NA,NA,NA,NA
"10583","Wii",2008,"Fighting",0,0,0.1,0,0.1,NA,NA,NA,NA
"10584","X360",2011,"Misc",0.09,0.01,0,0.01,0.1,NA,NA,5,8
"10585","Wii",2009,"Action",0.05,0.04,0,0.01,0.1,NA,NA,NA,NA
"10586","DS",2009,"Adventure",0.08,0.01,0,0.01,0.1,53,11,6,4
"10587","DS",2009,"Misc",0.07,0,0.02,0.01,0.1,NA,NA,NA,NA
"10588","SAT",1995,"Shooter",0,0,0.1,0,0.1,NA,NA,NA,NA
"10589","Wii",2008,"Simulation",0.06,0.03,0,0.01,0.1,65,12,7,5
"10590","DS",2012,"Action",0,0,0.1,0,0.1,NA,NA,NA,NA
"10591","GC",2002,"Sports",0.08,0.02,0,0,0.1,76,31,8,9
"10592","DS",2007,"Fighting",0.09,0,0,0.01,0.1,71,23,7,4
"10593","3DS",2013,"Puzzle",0.09,0,0,0.01,0.1,68,7,6,20
"10594","X360",2009,"Role-Playing",0.09,0,0,0.01,0.1,NA,NA,NA,NA
"10595","PS",2000,"Misc",0.06,0.04,0,0.01,0.1,82,6,NA,NA
"10596","PS",1999,"Simulation",0.06,0.04,0,0.01,0.1,NA,NA,NA,NA
"10597","PS2",2001,"Role-Playing",0.05,0.04,0,0.01,0.1,76,16,7,22
"10598","PSV",2011,"Role-Playing",0,0,0.1,0,0.1,NA,NA,NA,NA
"10599","Wii",2008,"Adventure",0.09,0,0,0.01,0.1,NA,NA,NA,NA
"10600","DS",2006,"Simulation",0,0,0.1,0,0.1,NA,NA,NA,NA
"10601","Wii",2010,"Sports",0,0.09,0,0.01,0.1,NA,NA,NA,NA
"10602","PSP",2008,"Role-Playing",0.06,0,0.03,0.01,0.1,41,19,5,37
"10603","Wii",2009,"Action",0.09,0,0,0.01,0.1,NA,NA,NA,NA
"10604","SAT",1996,"Role-Playing",0,0,0.1,0,0.1,NA,NA,NA,NA
"10605","GBA",2004,"Action",0.07,0.03,0,0,0.1,33,11,6,6
"10606","PS2",2007,"Action",0.05,0.04,0,0.01,0.1,65,11,7,4
"10607","PSV",2015,"Action",0,0.03,0.07,0.01,0.1,65,12,7,63
"10608","X360",2010,"Strategy",0.09,0,0,0.01,0.1,NA,NA,6,17
"10609","DS",2011,"Platform",0.08,0.01,0,0.01,0.1,NA,NA,NA,NA
"10610","DS",2009,"Puzzle",0.09,0,0,0.01,0.1,NA,NA,NA,NA
"10611","PSP",2010,"Simulation",0,0,0.1,0,0.1,NA,NA,NA,NA
"10612","Wii",2010,"Misc",0.04,0.05,0,0.01,0.1,NA,NA,NA,NA
"10613","XB",2002,"Sports",0.08,0.02,0,0,0.1,80,15,8,5
"10615","XB",2004,"Fighting",0.08,0.02,0,0,0.1,NA,NA,NA,NA
"10616","X360",2008,"Sports",0.09,0,0,0.01,0.1,49,35,3,45
"10617","DS",2007,"Role-Playing",0.09,0,0,0.01,0.1,56,8,NA,NA
"10618","PC",2010,"Action",0.08,0.02,0,0.01,0.1,37,5,4,33
"10619","DS",2006,"Puzzle",0.09,0,0,0.01,0.1,25,4,3,4
"10620","PS2",2005,"Platform",0.05,0.04,0,0.01,0.1,49,9,8,11
"10621","SAT",1997,"Shooter",0,0,0.1,0,0.1,NA,NA,NA,NA
"10622","XOne",2015,"Action",0.07,0.02,0,0.01,0.1,75,22,7,106
"10623","PC",2014,"Action",0,0.09,0,0.01,0.1,NA,NA,NA,NA
"10624","PS",2001,"Racing",0.06,0.04,0,0.01,0.1,68,11,NA,NA
"10625","PS",1998,"Action",0.03,0.02,0.04,0.01,0.1,NA,NA,NA,NA
"10626","XB",2004,"Role-Playing",0.08,0.02,0,0,0.1,75,50,8,4
"10627","DS",2007,"Misc",0,0,0.1,0,0.1,NA,NA,NA,NA
"10628","PS3",2008,"Shooter",0.09,0,0,0.01,0.1,NA,NA,NA,NA
"10629","PS2",2004,"Shooter",0.05,0.04,0,0.01,0.1,78,47,8,13
"10630","PS3",2007,"Sports",0,0.1,0,0,0.1,NA,NA,NA,NA
"10631","GBA",2001,"Strategy",0,0,0.1,0,0.1,NA,NA,NA,NA
"10632","PS4",2015,"Action",0,0,0.1,0,0.1,NA,NA,NA,NA
"10633","N64",1998,"Action",0.08,0.02,0,0,0.1,NA,NA,NA,NA
"10634","N64",2000,"Racing",0.08,0.02,0,0,0.1,NA,NA,NA,NA
"10635","N64",1998,"Racing",0.08,0.02,0,0,0.1,NA,NA,NA,NA
"10636","N64",1998,"Sports",0.08,0.02,0,0,0.1,NA,NA,NA,NA
"10637","N64",1998,"Misc",0.08,0.02,0,0,0.1,NA,NA,NA,NA
"10638","N64",2000,"Platform",0.08,0.02,0,0,0.1,NA,NA,NA,NA
"10639","N64",2001,"Role-Playing",0.08,0.02,0,0,0.1,NA,NA,NA,NA
"10640","N64",1998,"Sports",0.08,0.02,0,0,0.1,NA,NA,NA,NA
"10641","N64",1997,"Fighting",0.08,0.02,0,0,0.1,NA,NA,NA,NA
"10642","N64",1997,"Sports",0,0,0.05,0.05,0.1,NA,NA,NA,NA
"10643","PS",1999,"Fighting",0.06,0.04,0,0.01,0.1,NA,NA,NA,NA
"10644","DS",2007,"Adventure",0.09,0,0,0.01,0.1,43,25,3,6
"10645","PS3",2015,"Role-Playing",0,0,0.1,0,0.1,NA,NA,NA,NA
"10646","GBA",2002,"Platform",0.07,0.03,0,0,0.1,60,4,NA,NA
"10647","DS",2011,"Action",0.08,0.01,0,0.01,0.1,NA,NA,NA,NA
"10648","PSP",2010,"Shooter",0.07,0.02,0,0.02,0.1,54,15,NA,NA
"10649","X360",2014,"Action",0.06,0.03,0,0.01,0.1,NA,NA,7,57
"10650","PS",2001,"Action",0.06,0.04,0,0.01,0.1,NA,NA,NA,NA
"10651","DS",2009,"Sports",0.07,0.02,0,0.01,0.1,57,10,NA,NA
"10652","X360",2010,"Racing",0.08,0.02,0,0.01,0.1,64,49,7,16
